Feature\Product;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;
__KLIBC__;-;X;X;-;X;-;X;-;X;-;X;-;X;-;X;-;X;-;-;
__MACH__;-;X;-;X;-;X;-;X;-;X;X;-;-;X;X;-;X;-;-;
__MINGW32;-;X;-;-;X;X;-;X;X;-;-;X;X;-;-;-;-;-;-;
__MINGW32__;-;X;X;-;X;-;-;X;-;X;-;X;X;-;-;X;X;-;-;
__MSVCRT__;-;-;X;X;X;-;X;-;-;X;X;-;-;-;-;-;-;-;-;
__MWERKS__;-;-;X;X;X;-;-;X;X;-;X;-;-;-;X;X;-;-;-;
__NOVELL_LIBC__;-;X;-;X;X;-;-;X;X;-;X;-;X;-;X;X;X;-;-;
__NetBSD__;-;X;X;-;-;X;-;X;-;-;X;-;X;X;-;-;-;-;-;
__OpenBSD__;-;X;-;X;-;X;X;-;X;-;X;X;-;-;-;-;-;-;-;
__STDC__;-;X;-;X;X;-;X;-;-;X;X;X;-;-;X;-;-;-;-;
__SVR4;-;X;-;X;-;-;X;X;X;-;-;X;-;X;-;-;-;-;-;
__TANDEM;-;-;X;X;X;X;-;-;-;X;-;X;-;X;X;-;-;-;-;
__TMS;-;X;-;X;X;-;-;X;-;X;X;-;-;X;-;-;X;-;-;
__UNICODE__;-;-;X;X;-;X;-;X;-;X;X;-;X;-;-;X;-;-;-;
__U_INT;-;X;X;-;-;-;X;X;-;X;X;-;X;-;X;-;-;-;-;
__WATCOMC__;-;X;-;X;X;-;X;-;X;-;-;-;X;X;X;-;-;-;-;
__arch64__;-;X;-;X;X;X;X;-;-;-;X;-;X;-;-;-;-;-;-;
__arm;-;X;X;X;-;-;X;-;-;X;X;-;-;-;-;-;-;-;-;
__hpux;-;X;-;X;X;X;-;-;X;-;-;X;-;X;-;-;-;-;-;
__i386;-;-;X;-;X;X;X;-;-;X;X;X;-;-;-;-;-;-;-;
__i386__;-;X;X;-;X;-;-;-;X;-;X;X;X;-;-;-;-;-;-;
__int64;-;X;-;X;-;X;X;-;X;X;-;-;-;-;-;-;-;-;-;
__linux;-;-;X;X;X;X;-;-;-;X;X;-;-;X;-;-;-;-;-;
__sun;-;X;-;X;-;X;-;X;X;-;-;X;X;-;X;-;-;-;-;
__ultrix;-;-;X;X;-;X;-;X;X;-;-;X;-;-;X;X;-;-;-;
__unix__;-;X;-;X;X;-;X;-;-;X;X;-;X;X;-;-;-;-;-;
__x86_64;-;X;-;-;X;X;X;-;X;-;X;-;X;-;X;-;-;-;-;
__x86_64__;-;-;X;X;X;-;X;-;X;-;-;X;-;X;-;X;-;-;-;
alloca;-;X;-;-;X;X;-;X;-;X;-;X;X;-;-;-;-;-;-;
bn_div_words;-;X;-;X;X;-;-;X;X;-;X;X;-;X;-;X;-;-;-;
gmtime_r;-;X;-;X;X;X;-;X;-;-;-;X;-;X;X;-;X;-;-;
krb5_cc_get_principal;-;-;X;X;X;-;-;X;X;-;-;X;X;-;X;-;-;-;-;
krb5_kt_close;-;X;-;X;X;-;X;-;X;-;X;-;X;X;-;-;-;-;-;
krb5_kt_get_entry;-;-;X;X;X;-;-;X;-;-;X;X;-;X;-;-;-;-;-;
krb5_rc_destroy;-;-;X;X;X;-;-;X;-;X;-;X;X;-;X;-;-;-;-;
krb5_rc_get_lifespan;-;X;X;X;-;-;-;-;X;X;X;-;-;X;-;-;-;-;-;
krb5_rc_initialize;-;X;X;-;-;X;-;X;X;-;X;X;-;-;X;-;-;-;-;
krb5_x;-;-;X;X;X;X;-;-;X;X;-;-;-;-;-;-;-;-;-;
linux;-;-;X;X;X;X;-;-;-;X;-;-;X;X;-;X;-;-;-;
md4_block_data_order;-;-;X;X;X;-;-;-;X;X;-;X;X;X;X;-;-;-;-;
md5_block_data_order;-;-;X;X;-;-;X;X;-;X;-;X;X;-;-;-;-;-;-;
min;-;X;X;-;X;-;-;X;-;X;X;-;X;X;-;-;-;-;-;
mul64;-;-;X;X;-;X;X;X;-;-;-;-;X;-;-;-;-;-;-;
offsetof;-;X;X;-;-;-;X;X;-;X;X;-;-;X;X;-;-;-;-;
ripemd160_block_data_order;-;X;X;-;-;X;X;-;-;X;X;-;X;-;X;-;-;-;-;
unix;-;-;X;-;X;X;-;-;X;X;X;-;-;-;-;-;-;-;-;
HAVE_SELECT;-;X;-;X;-;-;X;-;X;X;-;X;-;X;-;-;-;-;-;
HAVE_SOCKET;-;-;X;-;X;X;-;X;-;-;X;-;X;-;-;-;-;-;-;
USE_MD5_RAND;-;X;-;X;-;X;X;X;-;-;-;X;X;-;-;-;-;-;-;
USE_SHA1_RAND;-;-;X;-;X;X;X;-;X;-;X;-;X;-;-;-;-;-;-;
USE_MDC2_RAND;-;-;X;X;-;X;-;X;X;-;X;-;-;X;-;X;-;-;-;
USE_MD2_RAND;-;X;X;-;X;-;-;X;-;X;-;X;-;X;X;-;-;-;-;
OPENSSL_NO_BUFFER;-;X;X;-;-;X;-;-;X;X;-;-;X;X;-;-;-;-;-;
OPENSSL_NO_STORE;-;X;-;X;X;X;X;-;-;-;X;-;-;X;-;-;-;-;-;
DATA_ORDER_IS_BIG_ENDIAN;X;-;-;X;-;X;X;X;-;-;-;-;X;X;X;X;X;X;X;
DATA_ORDER_IS_LITTLE_ENDIAN;-;X;X;-;X;-;-;-;X;X;X;X;-;-;-;-;-;-;-;
