Feature\Product;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;
KRB5_HEIMDAL;-;X;-;X;-;X;X;-;-;X;X;X;-;-;-;X;-;-;-;
KRB5_MIT_OLD11;-;-;X;X;-;-;X;X;-;-;X;X;-;-;-;-;-;-;-;
KSSL_DEBUG;-;X;-;X;X;-;-;X;-;X;X;-;-;-;X;X;-;-;-;
LEVITTE_DEBUG_MEM;-;-;X;X;X;X;-;-;-;X;-;-;X;X;X;-;-;-;-;
LIBDES_LIT;-;X;-;-;X;X;X;X;-;X;-;-;X;-;-;X;-;-;-;
LINT;-;X;-;-;X;X;X;-;X;-;-;X;X;-;-;-;-;-;-;
LINUX;-;X;-;X;X;-;X;-;X;X;-;X;-;-;-;-;-;-;-;
LOCK_DEBUG;-;X;X;-;X;-;-;X;-;X;-;-;X;X;X;-;-;-;-;
LPDIR_H;-;X;-;X;X;-;X;-;-;X;X;-;X;-;X;-;-;-;-;
LP_MULTIBYTE_AVAILABLE;-;X;X;-;X;-;-;X;-;-;X;X;-;X;-;X;-;-;-;
LP_SYS_WINCE;-;-;X;-;X;X;X;X;-;-;-;X;-;-;X;-;-;-;-;
L_ENDIAN;-;X;-;X;X;-;-;X;-;X;X;-;X;-;-;X;-;-;-;
LeftRotate;-;-;X;X;X;X;-;-;X;-;X;-;-;X;-;-;-;-;-;
MAC_OS_GUSI_SOURCE;-;X;-;X;X;-;X;-;-;X;-;-;-;X;-;X;X;-;-;
MD32_XARRAY;-;X;X;-;-;X;X;-;-;X;X;-;-;X;-;X;-;-;-;
MD_RAND_DEBUG;-;X;-;X;-;X;-;X;X;-;X;X;-;-;-;X;-;-;-;
MODES_DEBUG;-;X;-;X;-;X;-;X;-;X;X;X;-;-;-;X;-;-;-;
MONOLITH;-;-;X;X;-;X;-;X;-;X;X;-;-;X;-;X;-;-;-;
MONT_MUL_MOD;-;-;X;-;X;X;X;X;-;-;-;-;X;-;-;-;-;-;-;
MONT_WORD;-;X;X;-;-;-;X;X;-;X;X;-;-;X;-;X;-;-;-;
MYALLOC;-;X;X;-;X;X;-;-;X;-;-;X;X;-;-;-;-;-;-;
M_KEEP;-;X;X;-;X;-;-;X;-;X;X;-;-;X;X;-;-;-;-;
NAME_MAX;-;-;X;X;-;X;X;-;-;X;X;-;-;X;-;X;-;-;-;
NAML$C_MAXRSS;-;X;-;X;X;-;X;-;X;-;-;X;X;-;-;X;-;-;-;
NDEBUG;-;X;X;-;-;X;-;X;X;-;-;X;-;X;-;X;X;-;-;
NETSCAPE_HANG_BUG;-;X;X;-;X;-;-;X;-;-;X;X;X;-;-;X;-;-;-;
NID_aes_128_cbc_hmac_sha1;-;-;X;X;-;X;-;-;X;X;X;X;X;-;-;-;-;-;-;
NID_aes_128_cfb;-;X;-;X;X;-;-;X;-;X;X;-;X;-;X;-;-;-;-;
NID_aes_128_cfb128;-;-;X;X;X;X;-;-;-;-;X;X;X;-;X;-;-;-;-;
NID_aes_128_ofb;-;X;X;-;-;X;-;X;X;-;-;X;-;-;X;X;-;-;-;
NID_aes_128_ofb128;-;X;-;X;-;X;X;X;-;-;X;-;X;-;-;X;-;-;-;
NID_aes_192_cfb;-;-;X;X;X;-;-;X;-;X;X;-;X;-;-;-;-;-;-;
NID_aes_192_cfb128;-;X;-;X;X;X;-;X;-;X;-;-;-;-;-;-;-;-;-;
NID_aes_192_ofb;-;X;-;X;-;X;-;X;-;X;-;-;X;X;X;-;-;-;-;
NID_aes_192_ofb128;-;X;X;-;X;-;-;X;X;-;-;X;X;X;-;-;-;-;-;
NID_aes_256_cbc_hmac_sha1;-;X;X;-;-;X;X;-;X;-;-;X;-;-;X;-;X;-;-;
NID_aes_256_cfb;-;-;X;X;-;X;-;X;-;X;-;X;-;-;X;X;-;-;-;
NID_aes_256_cfb128;-;X;-;X;-;X;-;X;-;-;X;X;-;X;X;-;-;-;-;
NID_aes_256_ofb;-;X;-;X;X;-;X;-;-;-;X;X;X;X;-;-;-;-;-;
NID_aes_256_ofb128;-;-;X;X;X;-;X;-;X;-;-;-;X;-;X;-;-;-;-;
NID_rc4_hmac_md5;-;X;-;X;X;-;X;-;-;X;-;X;X;-;X;-;-;-;-;
NIST_INT64;-;-;X;X;X;-;-;X;-;X;-;X;-;X;X;-;-;-;-;
NOISY;-;X;X;-;-;X;-;-;X;X;X;-;X;-;X;-;-;-;-;
NOT_USED;-;X;X;-;X;-;X;-;X;-;X;-;-;X;-;X;-;-;-;
NO_ASN1_OLD;-;-;X;-;X;X;-;X;X;-;-;X;X;-;-;-;-;-;-;
NO_BUFFER;-;X;-;X;X;-;X;-;-;X;X;X;-;-;-;X;-;-;-;
NO_CHMOD;-;X;X;-;-;-;X;X;-;X;X;-;X;-;-;X;-;-;-;
NO_DEF_KRB5_CCACHE;-;X;X;-;-;X;X;-;-;-;X;X;-;X;-;-;-;-;-;
NO_FORK;-;-;X;X;-;X;-;X;-;X;-;X;-;X;-;X;-;-;-;
NO_HW;-;X;-;X;X;-;X;-;X;-;X;X;-;-;X;-;X;-;X;
NO_HW_CLUSTER_LABS;-;-;X;X;-;X;X;-;X;-;-;X;X;-;X;-;-;-;-;
NO_IP;-;X;-;X;X;-;X;-;X;-;X;X;-;-;X;-;X;X;-;
NO_MD5CRYPT_1;-;-;X;X;-;X;X;-;X;-;-;X;X;X;-;X;X;X;X;
NO_OLD_ASN1;-;X;X;-;X;-;X;-;-;X;-;X;X;-;-;X;-;-;-;
NO_OPENSSL;-;X;-;X;X;-;-;X;X;-;X;X;-;-;X;-;X;-;-;
NO_RSA;-;X;-;-;X;X;X;-;X;X;-;-;-;X;-;-;-;-;-;
NO_SHUTDOWN;-;X;-;-;X;X;X;X;-;-;-;X;-;-;-;-;-;-;-;
NO_SYSLOG;-;X;-;X;-;X;-;X;X;X;-;-;-;X;-;-;-;-;-;
NO_SYS_TYPES_H;-;X;X;-;X;-;-;X;-;-;X;X;-;X;X;-;-;-;-;
NO_SYS_UN_H;-;X;-;X;X;-;X;-;-;X;-;X;X;-;-;X;-;-;-;
NO_TUNALA;-;X;X;X;-;X;-;-;X;X;-;-;X;X;-;-;-;-;-;
NO_WINDOWS_BRAINDEATH;-;X;X;-;-;X;-;X;X;-;X;-;X;-;X;-;-;X;-;
